,Name,Description,Brand,Price,Image
0,"<tc>Stefanplast Pet Carrier Mini Gulliver, For Birds & Small Pets</tc>","Stefanplast Pet Carrier Mini Gulliver, For Birds & Small Pets 


A handy and versatile carrier ideal for small birds or rodents.
It is provided with a practical handle and a transparent upper lid that can be opened. 
The numerous holes on the lid guarantee correct inside aeration and its transparency allow the light to enter more easily.


Size:40x30x24 cm",Stefanplast,64.0,//aleef.com/cdn/shop/products/StefanplastPetCarrierMiniGulliver.jpg?v=1673694095
1,Zolux Small Animal Black Harness & Lead,"This new range of ""Casual"" leashes and harnesses for small animals is designed for pet rabbits, guinea pigs, ferrets and rats, either young or adult. The set includes a basic harness and leash made of durable nylon – perfect for daily walks. The harness can be adjusted to fit your animal's neck and chest, and it fastens with a clip. The leash has a metal snap hook and is 120cm long.",Zolux,38.79,//aleef.com/cdn/shop/products/ZoluxSmallAnimalBlackHarness_Lead.jpg?v=1669271890
2,Zolux Small Animal Red Harness & Lead,"This new range of ""Casual"" leashes and harnesses for small animals is designed for pet rabbits, guinea pigs, ferrets and rats, either young or adult. The set includes a basic harness and leash made of durable nylon – perfect for daily walks. The harness can be adjusted to fit your animal's neck and chest, and it fastens with a clip. The leash has a metal snap hook and is 120cm long.",Zolux,38.79,//aleef.com/cdn/shop/products/3336022071160.jpg?v=1658655552
3,Zolux Small Animal Blue Harness & Lead,"This new range of ""Casual"" leashes and harnesses for small animals is designed for pet rabbits, guinea pigs, ferrets and rats, either young or adult. The set includes a basic harness and leash made of durable nylon – perfect for daily walks. The harness can be adjusted to fit your animal's neck and chest, and it fastens with a clip. The leash has a metal snap hook and is 120cm long.",Zolux,38.79,//aleef.com/cdn/shop/products/3336022071177.jpg?v=1658655550
4,زولكس صدرية لون ازرق للحيوانات الصغيرة حجم صغير,صدرية للحيوانات الاليفة الصغيرة بلون ازرق  : مميزاته   مشد من النايلون مناسب للحيوانات الصغيرة مثل الأرانب والوبر والقوارض والفئران مثالية للمشي يوميا يمكن تعديلها لتناسب مقاس صدر ورقبة حيوانك الصغير المشد بطول 120سم ومزود بقفل معدني,Zolux,33.95,//aleef.com/cdn/shop/products/3336022071023.jpg?v=1658655547
5,زولكس صدرية لون احمر للحيوانات الصغيرة حجم صغير,صدرية للحيوانات الاليفة الصغيرة بلون احمر  : مميزاته   مشد من النايلون مناسب للحيوانات الصغيرة مثل الأرانب والوبر والقوارض والفئران مثالية للمشي يوميا يمكن تعديلها لتناسب مقاس صدر ورقبة حيوانك الصغير المشد بطول 120سم ومزود بقفل معدني,Zolux,33.95,//aleef.com/cdn/shop/products/3336022071016.jpg?v=1658655549
